Sigla do Cliente;Nome do cliente;Código do cliente;SE;Número do contrato;Status do contrato no ERP;CNPJ do Cliente;CDIP de Abrangência;e-Carta Integração;Armazenamento;Prazo de Armazenamento;Status do contrato no SGD;Fragmentação
DGA;ABC DATASAUDE SERV FARMACEUTICOS LTDA;197;SUPERINTENDENCIA ESTADUAL BSB ;9912400197;Ativo;01178574000117;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
SXB;ACAO SOCIAL CLARETIANA;8102;SUPERINTENDENCIA ESTADUAL SPM ;9912281027;Ativo;60543279000181;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
ZL;ACCENTIV SERV;7853;SUPERINTENDENCIA ESTADUAL SPM ;9912367853;Cancelado;59158642000166;Desativado - CDIP/SPM3;Não;Sim;180;Suspenso;Não
RJU;ACORP DO BRASIL;2825;SUPERINTENDENCIA ESTADUAL RJ  ;9912562825;Ativo;40284663000108;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
DFA;ADASA - AG REG. DE AGUAS, EN. E SAN. DF;2759;SUPERINTENDENCIA ESTADUAL BSB ;9912528985;Ativo;07007955000110;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
SWR;AEGEA SANEAMENTO E PARTICIPACOES S A;1693;SUPERINTENDENCIA ESTADUAL SPM ;9912331693;Ativo;08827501000158;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
SWM;AEGEA SANEAMENTO E PARTICIPACOES S A;3169;SUPERINTENDENCIA ESTADUAL SPM ;9912331693;Ativo;08827501000158;CDIP/FLN3;Sim;Sim;30;Ativo;Não
CEU;AGEFIS;8211;SUPERINTENDENCIA ESTADUAL CE  ;9912582231;Ativo;22078704000110;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
SVE;AGEM TECNOLOGIA DISTRIBUIDORA LTDA;7682;SUPERINTENDENCIA ESTADUAL ES  ;9912387682;Ativo;09022398000131;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
MSB;AGÊNCIA ESTADUAL DE METROLOGIA AEM MS;8797;SUPERINTENDENCIA ESTADUAL MS  ;9912288797;Ativo;03080427000135;CDIP - Curitiba;Não;Sim;90;Ativo;Não
GOA;AGENCIA MUNICIPAL MOBILIDADE TRANSITO;9884;SUPERINTENDENCIA ESTADUAL GO  ;9912519884;Ativo;05054206000118;Desativado CDIP/BSB2;Não;Não;30;Ativo;Sim
BF;AGENCIA NACIONAL DE AGUAS;6259;SUPERINTENDENCIA ESTADUAL BSB ;9912433557;Ativo;04204444000108;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
